CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;27;13;55;45;5;400;34
01:00;22;15;39;32;2;180;25
02:00;19;13;48;39;2;250;22
03:00;18;12;54;44;2;280;20
04:00;19;11;55;45;3;340;23
05:00;25;12;47;38;6;310;33
06:00;33;11;41;33;23;;67
07:00;41;12;35;27;51;660;118
08:00;45;11;29;22;57;690;133
09:00;47;10;36;29;70;650;154
10:00;45;10;26;19;45;440;114
11:00;41;8;19;14;25;400;79
12:00;22;5;7;4;10;230;36
13:00;19;9;12;8;9;170;32
14:00;27;11;11;7;16;260;50
15:00;31;6;18;13;18;270;58
16:00;39;6;24;18;27;380;80
17:00;38;7;30;24;19;340;67
18:00;42;7;30;23;23;350;76
19:00;46;8;34;27;26;520;86
20:00;48;10;54;42;36;580;102
21:00;41;11;52;42;19;470;69
22:00;33;9;58;47;11;410;50
23:00;32;11;67;55;11;480;48
