CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.3;24;11;8;610;36
01:00;1.9;13;11;2;230;16
02:00;2;12;11;1;220;13
03:00;1.8;12;11;1;200;14
04:00;2;10;11;1;250;11
05:00;1.8;9;11;0;340;10
06:00;1.8;15;11;5;330;22
07:00;1.7;12;11;3;280;16
08:00;2;14;11;8;;26
09:00;2;15;11;6;340;23
10:00;1.8;13;11;8;400;24
11:00;2.1;14;11;9;460;27
12:00;2;13;11;9;490;27
13:00;2;17;11;15;570;39
14:00;4.6;19;11;15;710;41
15:00;3.6;27;11;18;660;54
16:00;4;30;11;22;810;62
17:00;4;22;11;12;620;40
18:00;2.9;16;11;10;460;31
19:00;2.8;21;11;21;540;53
20:00;3.3;25;11;22;790;57
21:00;2.9;18;11;11;470;34
22:00;2.9;22;11;23;650;58
23:00;3.6;24;11;26;670;63
