CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;56;2;48;28;31;680;105
01:00;45;2;64;39;22;620;79
02:00;28;5;43;27;7;470;40
03:00;23;4;32;20;4;410;30
04:00;27;3;44;28;13;350;48
05:00;20;3;45;26;26;360;61
06:00;18;5;44;25;54;440;101
07:00;20;3;39;24;30;420;66
08:00;19;2;42;21;21;;52
09:00;27;3;80;39;19;780;57
10:00;24;11;64;34;7;780;35
11:00;12;9;31;15;2;370;15
12:00;11;8;33;12;1;380;14
13:00;11;8;34;10;1;310;13
14:00;9;8;25;9;1;210;11
15:00;10;8;25;9;0;270;12
16:00;8;7;25;11;0;220;10
17:00;7;4;29;19;0;220;8
18:00;7;3;43;30;0;200;7
19:00;15;5;64;42;0;280;16
20:00;12;4;69;46;0;310;13
21:00;19;3;35;15;0;230;19
22:00;52;3;47;22;14;550;74
23:00;75;4;59;33;40;620;137
