CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;28;6;59;3;750;33
01:00;1;23;4;39;1;680;24
02:00;2.5;23;5;59;3;570;26
03:00;1;28;5;64;1;590;31
04:00;1;26;6;73;4;680;34
05:00;2;26;5;64;24;690;60
06:00;2;30;6;63;11;;46
07:00;1.5;22;6;88;7;770;33
08:00;1;21;5;70;15;790;43
09:00;1;16;6;52;3;420;20
10:00;1;10;7;49;3;260;14
11:00;0;12;8;42;3;230;18
12:00;0;13;11;41;1;280;15
13:00;1.5;;;37;;;
14:00;1;11;12;46;1;440;13
15:00;0.5;5;9;38;1;290;6
16:00;0;4;8;39;1;270;5
17:00;0;6;7;18;1;320;8
18:00;0;6;7;27;1;330;7
19:00;0;14;7;37;1;440;15
20:00;0;28;5;38;4;620;33
21:00;0.5;49;6;59;20;1050;79
22:00;2;40;5;74;5;850;49
23:00;1;35;5;62;1;840;38
