CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;1.9;13;50;40;340
01:00;1.3;15;30;21;450
02:00;1.3;17;31;20;640
03:00;1.3;18;30;19;560
04:00;1;16;26;17;410
05:00;1;23;29;20;610
06:00;1;15;26;18;480
07:00;1;23;27;18;630
08:00;1;15;28;17;440
09:00;1;19;31;20;440
10:00;1;14;35;23;480
11:00;1.2;18;40;26;380
12:00;1.3;17;43;28;480
13:00;1.3;19;42;28;400
14:00;1.3;23;43;32;500
15:00;1.6;18;46;33;470
16:00;1.6;21;51;36;460
17:00;1.6;12;46;33;270
18:00;1.6;19;48;33;280
19:00;1.9;19;55;41;390
20:00;2.1;16;63;45;370
21:00;2.3;13;54;42;350
22:00;1.9;14;51;41;340
23:00;1.9;14;57;45;390
