CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;5;77;41;620
01:00;5;66;34;570
02:00;2;27;13;340
03:00;2;27;13;310
04:00;2;26;12;280
05:00;3;28;13;260
06:00;3;37;18;
07:00;2;38;19;330
08:00;3;71;19;430
09:00;9;91;21;410
10:00;18;88;24;920
11:00;19;60;23;620
12:00;9;27;7;350
13:00;6;20;4;230
14:00;7;18;5;310
15:00;6;16;3;300
16:00;6;17;3;300
17:00;10;26;6;380
18:00;9;23;6;260
19:00;10;71;35;270
20:00;6;28;8;200
21:00;6;66;33;310
22:00;5;69;26;420
23:00;5;94;51;670
