CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;10;40;35;570
01:00;12;41;36;550
02:00;8;23;22;520
03:00;8;33;32;570
04:00;6;31;28;600
05:00;7;35;32;560
06:00;5;32;28;700
07:00;5;36;31;820
08:00;9;35;31;900
09:00;13;24;21;680
10:00;15;27;15;460
11:00;8;19;14;390
12:00;9;22;15;410
13:00;11;23;16;430
14:00;9;18;12;370
15:00;11;;;330
16:00;7;16;11;340
17:00;4;15;7;330
18:00;11;13;10;370
19:00;6;24;17;430
20:00;6;23;17;450
21:00;5;25;22;510
22:00;5;36;32;650
23:00;10;38;35;640
