CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;1.06015;15.2062;9.72587;24.9814;20.1843;1.7174;508;503.573;17.8414
01:00;0.88138;11.6119;10.3088;20.7144;16.9371;1.20439;468.81;511.238;13.459
02:00;0.691431;10.2005;10.8384;17.6032;14.6069;1.04228;425.696;512.511;11.8021
03:00;0.47785;9.20525;10.5092;12.8458;10.8216;1.00072;382.61;505.252;10.7388
04:00;0.382785;9.58572;11.6284;7.70192;6.6595;1.10879;359.705;487.885;11.3021
05:00;0.33859;10.7404;10.4841;3;3;1.89579;348.275;461.446;13.6546
06:00;0.41742;15.1456;10.5891;3;3;3.71952;386.001;435.585;20.8416
07:00;0.466215;22.6664;11.4087;3;3;5.75006;414.893;411.749;31.4864
08:00;0.47316;26.3362;10.703;5.09671;3;8.99191;415.744;400.217;40.1199
09:00;0.49625;27.5918;11.9043;6.36818;5.33461;8.33516;380.383;389.163;40.3786
10:00;0.591315;33.0418;28.9831;9.48929;7.61277;12.4929;399.438;385.881;52.2132
11:00;0.44087;20.324;18.6758;11.7388;7.81861;8.42764;391.739;387.022;33.2676
12:00;0.419765;15.5862;13.0849;12.0885;7.65117;6.04899;358.103;386.822;24.8711
13:00;0.42211;15.075;12.1936;11.0329;6.99536;6.06492;346.006;386.538;24.37
14:00;0.507795;27.3469;28.7323;13.5578;7.69693;10.419;375.578;385.235;43.3395
15:00;0.56137;34.8288;32.8259;14.2488;7.81784;11.3855;406.91;384.238;52.2881
16:00;0.711815;26.045;9.47658;6.92326;5.84723;8.35767;419.136;384.662;38.8514
17:00;0.7699;32.4477;13.1841;14.3976;11.5037;12.2476;458.387;394.412;51.2376
18:00;0.67736;25.3648;14.0843;13.6923;10.5571;9.36982;402.913;394.846;39.7404
19:00;0.71434;24.8653;11.6403;17.8885;12.2305;7.20974;404.221;396.407;35.9256
20:00;0.723359;24.2919;10.6557;14.1974;10.2399;4.9693;383.503;399.582;31.9115
21:00;0.962375;25.7516;9.99217;17.1729;13.3599;4.31012;431.11;410.22;32.3648
22:00;0.716865;18.4743;11.57;17.1012;12.4882;3.06866;401.91;413.511;23.1887
23:00;0.74681;15.3561;11.2482;16.4524;13.2299;2.11367;389.503;411.335;18.5986
00:00;0.71434;11.2182;11.2453;15.5221;11.9789;1.14378;346.291;402.23;12.9659
01:00;0.577605;10.081;11.6203;15.2401;11.7611;0.574659;324.156;385.451;10.9716
