CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;3;11;1210;60
01:00;29;3;6;1240;37
02:00;27;2;7;530;37
03:00;27;2;7;450;37
04:00;20;2;5;380;27
05:00;17;2;6;310;26
06:00;16;2;19;310;44
07:00;24;2;12;650;42
08:00;29;7;11;1370;44
09:00;21;8;7;400;30
10:00;15;4;3;250;19
11:00;21;4;5;280;28
12:00;28;7;4;310;34
13:00;13;5;1;250;15
14:00;15;4;2;260;17
15:00;11;5;1;240;12
16:00;18;4;1;250;20
17:00;10;4;1;210;12
18:00;7;4;0;220;7
19:00;14;4;1;290;15
20:00;14;4;1;370;15
21:00;16;3;1;450;18
22:00;17;3;2;480;19
23:00;51;3;9;790;65
