CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.3;21;4;9;450;34
01:00;13.7;28;6;208;2580;345
02:00;13.4;16;4;167;2360;271
03:00;14.8;16;5;179;2310;290
04:00;12.7;21;4;179;2360;295
05:00;11.7;17;4;166;2170;270
06:00;10.4;17;3;135;1760;222
07:00;8.5;25;4;152;1780;257
08:00;8.2;34;3;107;1270;197
09:00;7.5;31;3;70;950;138
10:00;5.1;27;3;32;710;77
11:00;3.2;27;3;31;670;73
12:00;3.1;26;3;20;610;56
13:00;2.3;19;3;7;500;30
14:00;2.6;25;4;10;520;40
15:00;2.4;23;5;5;470;31
16:00;4.5;39;8;31;;87
17:00;4;37;8;21;590;69
18:00;3;33;6;9;490;46
19:00;2.5;30;6;6;460;38
20:00;2.5;33;7;8;470;45
21:00;2.6;30;6;9;460;44
22:00;3.2;29;8;14;460;50
23:00;2.9;26;5;16;480;50
