CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;5.72365;48.6115;9.64524;81.0567;57.7552;57.8722;1290.54;1037.8;137
01:00;3.83308;26.5121;11.3163;88.1096;67.8258;2.57436;876.766;905.706;30.5
02:00;4.12531;29.6488;14.7375;99.4381;76.7202;3.16357;1031.64;929.379;34.5
03:00;4.21623;25.8861;16.4936;102.86;79.2942;2.49227;1031.66;920.771;29.7
04:00;3.81035;29.1525;15.3714;102.176;78.1936;3.19648;1028.54;907.616;34
05:00;3.49783;22.6685;15.8974;90.5193;69.9713;1.86565;968.685;904.749;25.5
06:00;3.65044;26.1454;13.6708;95.7727;72.4068;6.4075;953.711;932.185;35.9
07:00;4.07904;41.2209;11.6366;109.416;77.9182;26.6844;1068.79;971.684;82
08:00;4.62616;41.951;13.9623;115.261;82.3926;30.7867;1182.9;1017.84;89
09:00;4.05226;39.529;17.9634;121.637;82.4898;28.6803;1152.23;1052.27;83.4
10:00;8.0688;35.7726;22.3699;139.969;83.1257;14.1046;993.408;1047.49;57.3
11:00;3.71781;27.1768;23.8509;110.005;75.0534;7.42207;900.736;1031.12;38.5
12:00;3.52543;24.2026;25.0359;98.5883;72.5777;5.16431;915.632;1017.01;32.1
13:00;3.10576;28.2741;22.5401;94.8256;66.2174;3.93047;853.424;1002.6;34.3
14:00;2.39791;26.4196;22.398;83.799;58.0399;3.51931;826.83;986.744;31.8
15:00;1.61214;15.7955;17.3184;44.9332;31.856;1.74927;632.275;932.179;18.5
16:00;1.62918;16.9407;15.1399;50.3042;35.1641;1.47354;647.873;865.301;19.2
17:00;1.90193;40.7628;13.781;115.34;37.824;4.93154;694.819;808.125;48.3
18:00;2.22014;40.9802;13.1515;68.7516;31.6312;3.09776;717.543;773.642;45.7
19:00;4.19269;62.8978;12.1403;81.6244;42.4326;32.4684;913.978;775.297;112.5
20:00;5.8722;66.0208;14.6509;101.451;58.6306;66.0879;1187.92;809.333;167
21:00;6.32434;66.3822;14.6539;116.437;67.3818;76.0209;1352.81;871.756;182.5
22:00;4.41511;46.5157;13.7773;67.9385;47.2444;11.2039;1001.88;893.637;63.6
23:00;4.6148;59.6218;10.7667;73.4239;48.3967;88.5917;1142.91;957.467;195
