CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;11.3;23;15;123;93;2;1050;26
01:00;2;20;13;32;28;1;560;22
02:00;1.7;16;11;30;25;1;520;16
03:00;1.1;10;10;18;14;0;410;11
04:00;0.4;9;9;13;9;1;180;11
05:00;0.4;9;9;13;9;1;190;11
06:00;0.4;21;11;20;15;7;;31
07:00;0.9;32;13;25;20;10;650;48
08:00;1.3;38;12;27;23;11;740;54
09:00;1.8;38;12;32;24;14;790;59
10:00;1.7;35;11;28;22;14;800;56
11:00;1.6;31;11;64;27;15;990;52
12:00;1.9;24;14;57;28;13;1150;43
13:00;1.9;23;16;67;32;11;990;39
14:00;2;28;15;65;33;15;820;51
15:00;2.1;40;14;81;36;18;920;68
16:00;2.8;67;14;132;48;50;1350;142
17:00;4.5;68;9;88;63;83;1470;195
18:00;9.2;75;6;114;98;192;2200;367
19:00;13.5;74;6;120;103;245;2310;447
20:00;11.9;59;10;142;125;103;1770;216
21:00;9.5;47;12;118;86;21;1070;80
22:00;14.3;46;15;128;93;14;1090;68
23:00;13.8;52;16;155;102;32;1270;101
