CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;15;6;13;1;350;18
01:00;16;6;14;1;;18
02:00;16;8;11;1;280;18
03:00;15;7;14;1;280;17
04:00;14;7;21;2;280;16
05:00;13;5;18;9;310;26
06:00;13;6;6;2;260;17
07:00;17;6;29;4;300;24
08:00;21;7;18;6;360;31
09:00;21;8;12;7;440;32
10:00;23;47;11;10;370;40
11:00;23;36;12;10;390;38
12:00;30;76;8;13;310;51
13:00;26;66;10;12;320;45
14:00;12;10;23;5;270;21
15:00;29;85;11;13;260;49
16:00;20;41;13;8;250;33
17:00;34;69;14;8;280;47
18:00;32;59;17;6;310;41
19:00;31;25;13;8;390;44
20:00;24;30;21;4;280;31
21:00;20;12;13;3;270;25
22:00;14;4;9;2;280;18
23:00;18;4;11;3;280;23
