CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;33;4;113;2130;205
01:00;27;3;101;1990;180
02:00;27;3;11;810;43
03:00;22;2;8;700;34
04:00;25;2;18;740;50
05:00;23;2;31;690;69
06:00;25;3;35;730;78
07:00;28;2;81;900;150
08:00;27;2;76;820;142
09:00;36;3;107;1030;199
10:00;38;5;109;920;204
11:00;29;8;50;510;105
12:00;34;27;29;730;79
13:00;36;32;17;430;62
14:00;45;57;20;900;73
15:00;36;47;12;;53
16:00;30;22;6;260;39
17:00;32;21;5;250;39
18:00;34;14;4;340;38
19:00;62;17;33;710;112
20:00;70;18;100;1410;223
21:00;64;12;140;1490;278
22:00;50;5;115;;225
23:00;40;3;102;1530;194
