CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;2.6;29;17;35;28;9;590;1065;42
00:00;1.3;12;14;17;14;2;390;1007.5;15
01:00;1.1;9;11;15;12;1;380;906.25;11
02:00;1.4;17;13;18;15;2;410;787.5;20
03:00;1.1;11;10;16;12;1;400;662.5;13
04:00;0.7;14;9;15;13;2;410;573.75;16
05:00;0.7;11;9;14;12;1;390;497.5;13
06:00;1;20;8;21;17;6;470;430;30
07:00;0.4;26;8;18;14;11;470;415;42
08:00;1;30;9;15;12;14;450;422.5;51
09:00;1.6;35;10;20;16;16;490;436.25;58
10:00;1.2;32;10;18;14;16;450;441.25;56
11:00;1;27;9;16;12;12;410;442.5;45
12:00;1;19;15;13;10;8;350;435;32
13:00;1.5;32;13;13;10;13;360;431.25;51
14:00;2;31;10;21;11;16;430;426.25;55
15:00;2.6;40;13;21;13;21;490;428.75;73
16:00;2;36;9;20;13;16;440;427.5;60
17:00;1.3;22;9;11;9;9;380;413.75;36
18:00;1.6;30;12;16;13;13;450;413.75;49
19:00;1.4;28;12;17;13;10;420;415;43
20:00;1.2;16;9;10;8;5;350;415;23
21:00;1.1;17;8;11;8;3;370;416.25;22
22:00;1.3;22;9;11;9;5;390;411.25;29
23:00;1.3;19;9;14;12;4;360;395;24
