CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;8;3;18;15;1;210;9
01:00;1;30;7;28;24;4;510;36
02:00;1;15;5;18;15;2;360;17
03:00;0.5;5;3;14;11;1;260;7
04:00;0.4;7;2;13;10;2;280;9
05:00;0.4;8;2;13;9;1;310;9
06:00;0.4;14;3;15;11;2;310;17
07:00;0.4;15;3;18;13;3;350;19
08:00;0.4;16;4;17;12;3;380;21
09:00;0.4;14;3;13;9;4;340;20
10:00;0.4;17;4;14;10;7;450;28
11:00;0.4;17;3;13;9;8;420;29
12:00;0.4;16;4;13;10;8;390;29
13:00;0.4;19;3;9;7;12;440;38
14:00;0.7;20;3;7;6;9;450;34
15:00;0.7;21;3;10;8;8;450;33
16:00;0.5;32;4;16;13;12;520;50
17:00;1;23;4;12;11;5;450;31
18:00;1;40;3;14;12;11;650;56
19:00;1;21;4;16;14;5;470;29
20:00;1;21;3;15;13;5;;28
21:00;1;20;4;17;15;4;350;26
22:00;1;22;4;21;18;4;390;29
23:00;0.8;12;4;17;15;1;230;14
