CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;68;8;195;82;105;1470;228
01:00;39;7;191;92;4;1400;45
02:00;29;4;152;101;4;1230;34
03:00;29;3;213;118;6;1170;38
04:00;30;2;208;116;14;1290;50
05:00;31;3;223;126;29;1550;74
06:00;28;3;225;130;50;1930;103
07:00;26;3;193;122;46;1840;96
08:00;43;10;188;117;81;1750;167
09:00;62;16;225;121;72;1840;171
10:00;60;18;166;94;41;1360;122
11:00;47;18;102;55;19;760;76
12:00;46;25;76;39;15;590;68
13:00;38;16;73;40;9;520;52
14:00;20;10;52;31;4;410;25
15:00;12;6;31;17;2;230;14
16:00;15;6;33;17;2;250;17
17:00;23;5;43;17;2;220;26
18:00;89;7;133;39;79;;209
19:00;76;6;171;65;78;1120;195
20:00;89;7;;;152;1480;321
21:00;95;16;;;105;1310;256
22:00;80;14;;;56;1130;165
23:00;83;12;167;75;82;1350;208
