CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;1.3;10;31;23;300
01:00;11.1;64;248;202;1890
02:00;9.9;54;206;167;1490
03:00;8.5;37;169;139;1080
04:00;7.2;33;167;135;1100
05:00;6;21;130;106;720
06:00;4.9;29;115;94;620
07:00;3.9;36;72;58;420
08:00;2.9;17;;;270
09:00;2.3;14;;;250
10:00;1.9;17;41;32;260
11:00;1.6;13;42;32;260
12:00;1.6;11;33;25;220
13:00;1.3;10;32;24;220
14:00;1.3;10;34;27;250
15:00;1.2;8;34;26;240
16:00;1.2;8;43;33;250
17:00;1.3;9;52;40;300
18:00;1.3;8;44;35;270
19:00;1.3;8;37;29;230
20:00;1.3;10;35;27;240
21:00;1.3;8;34;26;230
22:00;1.3;9;31;24;220
23:00;1.3;9;29;22;230
