CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.5;20;4;12;1;430;21
01:00;0.5;16;3;12;0;430;16
02:00;1.1;44;4;12;1;760;46
03:00;1.1;55;3;12;6;830;61
04:00;1.9;37;4;12;2;590;40
05:00;1.3;33;5;12;6;690;42
06:00;1.1;21;5;12;6;520;32
07:00;1.1;30;5;12;17;640;57
08:00;2.4;31;5;12;16;810;56
09:00;1.4;13;4;12;1;380;15
10:00;0.5;7;4;12;0;420;9
11:00;0.5;8;5;12;1;410;10
12:00;0.5;9;5;12;0;420;10
13:00;0.5;9;4;12;0;380;11
14:00;0.5;9;3;12;0;420;12
15:00;0.5;9;4;12;1;400;11
16:00;0.5;11;4;12;0;340;13
17:00;0.5;11;3;12;0;;15
18:00;0.5;10;4;12;0;430;13
19:00;0.5;9;5;12;0;400;13
20:00;0.5;17;4;12;2;480;20
21:00;0.5;16;2;12;1;510;18
22:00;0.5;23;4;12;1;490;25
23:00;0.5;26;4;12;2;470;29
