CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;19.5;18;8;277;124;;208
01:00;20.2;24;5;261;133;2910;227
02:00;16.8;27;4;242;103;2750;186
03:00;16.9;19;4;205;108;2480;185
04:00;15.9;17;4;214;98;2360;167
05:00;15.4;18;5;193;85;2400;149
06:00;17.7;18;7;175;97;2560;167
07:00;18;19;6;179;102;2480;176
08:00;17;27;7;165;173;2690;293
09:00;15.7;32;7;210;130;3140;231
10:00;17;45;7;223;67;1910;148
11:00;9.2;47;13;141;38;1250;106
12:00;4.9;44;13;113;23;970;80
13:00;4;42;10;100;15;930;65
14:00;4;33;7;59;5;1040;41
15:00;4.7;47;6;80;62;1270;143
16:00;6.8;45;6;154;164;2270;296
17:00;11.5;38;6;195;173;2830;303
18:00;15;34;7;256;224;3540;377
19:00;17.8;27;6;289;197;3330;329
20:00;18.4;25;7;284;166;3270;280
21:00;19.9;24;6;260;153;3310;260
22:00;19.7;23;8;292;161;3410;271
23:00;19.4;21;8;282;143;3380;240
