CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;40;6;134;91;51;1360;118
01:00;28;6;252;194;184;3330;309
02:00;26;6;264;205;161;3310;272
03:00;31;5;235;183;190;3430;322
04:00;33;6;191;148;140;3150;248
05:00;31;5;141;110;121;2350;216
06:00;32;5;110;85;149;2070;260
07:00;50;7;113;86;311;2530;525
08:00;45;6;121;92;293;2460;491
09:00;46;6;85;62;109;1330;211
10:00;29;7;48;25;16;400;53
11:00;;;48;23;;340;
12:00;;;40;20;;;
13:00;31;8;47;23;13;400;51
14:00;32;10;48;23;15;440;55
15:00;40;8;47;21;21;510;71
16:00;47;9;47;22;26;;86
17:00;64;10;64;30;35;850;116
18:00;65;7;80;40;32;800;113
19:00;61;7;131;54;59;1100;151
20:00;55;9;130;60;36;970;109
21:00;56;12;137;70;59;1130;146
22:00;42;9;106;71;12;910;60
23:00;46;7;111;70;42;1090;109
