CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;23;9;6;780;32
01:00;23;9;8;890;33
02:00;7;4;96;1700;153
03:00;9;4;72;1250;118
04:00;13;3;26;760;53
05:00;18;4;11;660;34
06:00;16;4;12;640;35
07:00;17;3;11;470;33
08:00;20;4;22;510;54
09:00;22;8;38;760;79
10:00;22;6;42;560;85
11:00;20;10;34;870;72
12:00;17;21;20;800;46
13:00;10;11;5;270;18
14:00;14;13;7;290;25
15:00;11;12;4;250;18
16:00;14;16;4;;20
17:00;12;9;3;350;17
18:00;14;8;4;610;19
19:00;17;4;2;490;20
20:00;24;6;2;440;27
21:00;20;8;2;430;22
22:00;14;5;1;360;16
23:00;13;5;2;360;16
