CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.9;13;5;29;2;470;14
01:00;1.9;25;9;12;1;580;26
02:00;1.9;31;9;25;3;670;35
03:00;1.9;30;10;43;4;680;35
04:00;1.9;33;5;25;17;680;57
05:00;1.9;27;2;44;7;660;37
06:00;1.9;30;3;23;29;730;73
07:00;1.9;33;2;23;47;740;105
08:00;1.9;39;4;34;33;750;90
09:00;1.9;38;3;29;20;;68
10:00;1.9;38;6;36;26;950;78
11:00;1.8;15;7;32;4;450;21
12:00;0.8;16;4;17;6;470;24
13:00;0.8;15;1;13;7;450;26
14:00;0.8;15;2;10;6;490;24
15:00;0.8;16;4;13;6;440;24
16:00;0.8;18;3;17;5;430;25
17:00;0.8;17;2;17;5;400;23
18:00;0.8;18;2;23;2;420;21
19:00;0.8;20;3;10;2;440;24
20:00;0.8;24;5;9;6;490;32
21:00;0.8;24;9;12;3;500;29
22:00;0.8;17;7;10;3;440;21
23:00;0.8;16;6;18;3;490;20
