CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.5;30;7;32;12;560;49
01:00;8.1;36;5;131;72;1270;146
02:00;5.4;32;5;103;65;1190;131
03:00;5;33;5;91;86;1290;164
04:00;5;35;4;115;106;1330;197
05:00;6.7;39;7;116;123;1310;227
06:00;5.5;47;6;108;150;1550;277
07:00;4;58;7;125;179;1790;331
08:00;5.2;56;8;80;92;1090;197
09:00;3.7;47;5;51;32;600;95
10:00;1.9;41;5;40;17;440;68
11:00;1.2;51;5;19;40;680;112
12:00;2;39;3;29;25;580;77
13:00;2;42;4;36;30;730;88
14:00;2;41;5;23;30;590;87
15:00;2;34;2;15;16;520;59
16:00;1.4;34;4;24;17;;60
17:00;1;36;4;15;14;580;57
18:00;1;34;5;33;11;520;51
19:00;1.7;35;6;25;11;540;52
20:00;1.5;35;10;32;10;510;50
21:00;2;34;10;31;10;530;50
22:00;1.4;36;9;30;12;510;53
23:00;1.7;32;9;24;7;520;42
