CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;1;49;24;71;780;139
01:00;21;2;53;29;51;690;100
02:00;16;3;30;21;2;280;19
03:00;18;2;34;24;2;290;22
04:00;17;2;38;26;3;290;21
05:00;20;2;38;26;4;290;26
06:00;32;2;39;26;25;460;71
07:00;42;2;35;22;46;610;113
08:00;47;3;30;17;48;660;120
09:00;40;2;26;12;29;;84
10:00;25;2;26;12;13;330;45
11:00;15;4;13;5;4;230;21
12:00;13;2;7;3;3;200;18
13:00;11;2;6;3;3;190;15
14:00;11;2;5;3;3;170;16
15:00;10;2;6;3;2;140;12
16:00;13;2;7;3;3;160;18
17:00;17;2;7;3;4;180;22
18:00;13;1;7;3;2;190;16
19:00;14;1;8;3;2;180;17
20:00;27;3;14;3;4;240;33
21:00;31;1;39;9;9;310;45
22:00;43;1;42;16;40;560;104
23:00;32;1;41;19;39;590;91
