CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;3.6;31;14;6;740;737.5;40
01:00;2.9;18;6;4;630;617.5;23
02:00;3;16;6;3;590;611.25;21
03:00;2.9;16;6;3;590;606.25;20
04:00;2.7;16;5;2;570;600;19
05:00;2.6;14;6;2;550;591.25;17
06:00;2.7;18;6;6;560;586.25;26
07:00;2.8;21;6;5;570;583.75;29
08:00;2.5;22;7;6;580;580;31
09:00;2.7;23;9;10;670;585;39
10:00;3;21;11;13;660;593.75;41
11:00;3.1;24;12;16;690;606.25;47
12:00;3.1;26;12;18;680;620;53
13:00;3;26;12;16;650;632.5;51
14:00;2.6;27;12;13;600;637.5;48
15:00;2.7;30;11;13;600;641.25;49
16:00;3.2;36;11;16;700;656.25;60
17:00;3.1;40;10;13;710;661.25;59
18:00;3.3;43;10;14;770;675;63
19:00;3;38;10;11;700;676.25;54
20:00;3.2;40;12;12;750;685;59
21:00;3.4;42;13;15;760;698.75;65
22:00;3.3;39;15;11;750;717.5;55
23:00;3;36;15;10;720;732.5;50
