CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.5;35;31;18;11;450;51
01:00;0.5;32;30;19;13;460;51
02:00;0.5;19;63;45;14;490;41
03:00;0.5;18;57;41;10;400;34
04:00;0.5;15;53;37;5;350;23
05:00;0.5;15;63;38;4;480;20
06:00;0.5;12;65;38;4;530;19
07:00;0.5;17;65;41;9;580;30
08:00;0.5;10;42;30;3;210;14
09:00;0.5;9;46;31;3;250;14
10:00;0.5;8;31;22;2;240;11
11:00;0.5;7;21;12;1;220;8
12:00;0.5;16;14;6;4;240;22
13:00;0.5;15;7;3;3;230;19
14:00;0.5;8;7;3;1;240;9
15:00;0.5;8;10;4;1;;9
16:00;0.5;4;8;3;0;160;4
17:00;0.5;9;19;5;1;550;10
18:00;0.5;10;17;5;1;420;10
19:00;0.5;14;29;8;0;460;15
20:00;0.5;21;33;14;3;660;24
21:00;0.5;36;34;17;9;540;50
22:00;0.5;44;40;24;21;640;75
23:00;0.5;44;37;23;31;650;91
