CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;6;5;28;0;240;6
01:00;0.4;5;4;33;0;230;5
02:00;0.4;12;3;19;0;320;12
03:00;0.4;17;4;32;1;280;19
04:00;0.4;;2;26;;250;
05:00;0.4;14;2;11;2;270;17
06:00;0.5;40;4;9;15;490;62
07:00;1.5;37;5;31;15;540;59
08:00;1;18;4;35;7;470;29
09:00;1;16;5;23;7;370;25
10:00;1;13;11;14;4;;18
11:00;0.7;15;20;23;7;340;27
12:00;0.7;11;6;27;3;300;15
13:00;0.4;10;7;18;3;310;15
14:00;0.4;9;4;18;2;300;13
15:00;0.4;10;3;8;2;280;14
16:00;0.4;10;4;8;3;290;14
17:00;0.4;12;9;9;4;310;17
18:00;0.4;12;5;13;3;330;17
19:00;0.4;18;6;7;5;330;25
20:00;0.4;14;4;16;3;330;18
21:00;0.4;11;4;24;1;290;11
22:00;0.4;14;6;26;2;290;16
23:00;0.4;12;6;23;0;310;11
