CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.2;17;2;5;200;24
01:00;0.4;9;2;2;130;12
02:00;1.4;18;4;2;240;21
03:00;1;15;4;3;280;19
04:00;1.1;14;3;2;270;17
05:00;1.2;16;3;3;290;20
06:00;1;21;3;8;330;33
07:00;0.9;32;3;22;480;66
08:00;1.1;41;2;37;580;98
09:00;1.4;35;2;26;430;75
10:00;1.1;33;2;24;430;69
11:00;;;;;;
12:00;1.1;29;4;23;430;63
13:00;1;36;14;29;420;80
14:00;1.1;36;9;34;420;87
15:00;1.1;35;2;28;370;78
16:00;1.2;39;1;29;430;84
17:00;1.3;38;2;28;450;81
18:00;1.7;47;2;37;530;103
19:00;2.3;51;2;45;650;120
20:00;2.1;39;1;19;480;67
21:00;1.9;37;2;15;;59
22:00;1.7;37;1;13;440;56
23:00;1.8;37;2;17;470;63
