CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;49;9;49;1440;124
01:00;60;33;57;2440;148
02:00;59;35;60;2740;151
03:00;58;35;65;2520;158
04:00;55;28;60;2540;147
05:00;53;25;48;2230;127
06:00;44;17;33;1790;94
07:00;39;13;35;1790;92
08:00;41;13;44;2050;108
09:00;38;15;38;1990;97
10:00;44;19;40;2100;106
11:00;49;19;39;2440;108
12:00;51;18;31;2100;99
13:00;55;16;26;2290;96
14:00;66;14;27;2430;107
15:00;81;12;43;2330;145
16:00;87;11;34;2640;140
17:00;94;12;54;3080;176
18:00;95;13;103;3880;253
19:00;86;11;102;3630;241
20:00;84;11;126;;277
21:00;67;12;96;3990;214
22:00;66;14;94;4030;209
23:00;49;10;39;1840;109
