CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;4.8;40;20;63;51;9;940;738.75;54
00:00;4.5;41;21;70;55;6;1040;797.5;49
01:00;4.7;44;21;67;54;7;1120;870;55
02:00;5.4;32;20;36;29;4;690;886.25;37
03:00;3.4;16;19;18;15;2;410;866.25;19
04:00;1.1;16;18;17;14;2;400;835;18
05:00;0.7;21;20;20;16;2;490;770;24
06:00;0.8;30;23;26;21;6;490;697.5;39
07:00;0.9;32;25;39;31;9;540;647.5;46
08:00;1.4;36;27;37;29;11;530;583.75;52
09:00;1.6;34;26;43;33;14;610;520;56
10:00;1.7;28;29;30;24;13;590;507.5;47
11:00;1.5;24;28;25;20;12;490;517.5;43
12:00;1.3;24;24;26;21;12;520;532.5;42
13:00;1.3;22;22;27;22;10;500;533.75;37
14:00;1.5;25;24;27;21;15;550;541.25;47
15:00;1.5;24;20;22;17;12;530;540;42
16:00;1.1;37;22;29;23;14;610;550;58
17:00;1.5;33;19;29;23;9;580;546.25;46
18:00;1.7;28;16;27;21;6;520;537.5;37
19:00;1.4;37;16;37;30;8;680;561.25;48
20:00;2.2;54;15;58;46;24;840;601.25;91
21:00;3.8;39;13;60;48;10;850;645;54
22:00;3.8;34;14;41;33;6;710;665;44
23:00;2.9;18;16;23;19;5;430;652.5;25
00:00;1.2;23;15;28;22;3;480;636.25;27
