CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;46;7;54;4;550;53
01:00;42;5;240;72;1660;153
02:00;39;4;220;58;1610;129
03:00;32;3;200;35;1310;87
04:00;30;3;174;28;1250;75
05:00;37;3;138;31;;85
06:00;53;6;153;45;1510;122
07:00;58;9;167;65;1560;159
08:00;59;18;190;60;1580;153
09:00;55;23;166;35;1300;110
10:00;;;168;;;
11:00;44;32;146;19;810;74
12:00;52;35;123;20;880;83
13:00;38;29;114;9;610;53
14:00;27;25;93;5;300;36
15:00;23;15;87;9;;37
16:00;25;12;85;7;;36
17:00;21;9;55;4;290;28
18:00;35;7;32;7;360;47
19:00;37;4;24;8;440;50
20:00;42;6;42;7;540;54
21:00;25;5;53;3;420;30
22:00;45;4;48;9;600;59
23:00;58;6;52;18;720;86
