CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;2;5;50;900
01:00;2;5;41;780
02:00;2;2;39;680
03:00;2;2;38;570
04:00;1.8;;43;
05:00;1;2;38;480
06:00;1.5;2;48;420
07:00;1;1;31;520
08:00;1;1;36;520
09:00;1;1;49;410
10:00;1;17;41;
11:00;0.6;20;41;410
12:00;0.4;57;23;360
13:00;0.4;56;13;350
14:00;0.4;18;10;350
15:00;0.4;15;7;420
16:00;0.4;8;5;380
17:00;0.4;8;5;400
18:00;0.4;28;8;420
19:00;0.4;16;20;390
20:00;0.4;9;28;510
21:00;0.9;8;18;470
22:00;0.7;6;24;870
23:00;1.8;6;48;980
