CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;3;145;86;66;1040;143
01:00;36;3;121;89;33;870;87
02:00;31;2;187;116;37;1170;87
03:00;26;1;179;125;42;1100;90
04:00;21;1;148;105;29;1040;65
05:00;17;2;149;107;27;930;59
06:00;29;4;139;99;21;760;60
07:00;40;8;117;89;21;700;72
08:00;35;8;102;79;18;590;62
09:00;28;8;84;67;13;430;48
10:00;32;12;71;53;15;400;55
11:00;39;18;80;52;18;390;66
12:00;31;26;61;54;11;200;48
13:00;18;11;28;26;6;;27
14:00;22;4;22;11;8;;34
15:00;20;4;19;7;8;140;31
16:00;27;11;22;10;9;190;40
17:00;19;4;24;11;7;140;28
18:00;17;3;23;13;6;140;25
19:00;14;4;25;13;5;160;22
20:00;24;5;40;16;7;230;35
21:00;47;3;71;28;13;390;65
22:00;50;1;97;36;35;720;103
23:00;49;2;138;61;81;1170;172
