CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;43;6;40;102
01:00;27;5;30;73
02:00;15;2;32;63
03:00;13;2;28;55
04:00;12;1;27;53
05:00;14;2;26;54
06:00;26;2;39;86
07:00;29;2;54;110
08:00;33;2;63;128
09:00;33;2;65;132
10:00;31;2;64;128
11:00;32;2;36;87
12:00;36;3;30;83
13:00;39;4;34;91
14:00;42;5;26;80
15:00;48;7;31;96
16:00;54;15;35;106
17:00;53;24;31;101
18:00;56;19;43;122
19:00;59;17;57;145
20:00;55;14;50;131
21:00;45;9;53;125
22:00;30;6;38;89
23:00;38;5;55;121
