CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;5;134;115;1530
01:00;4;118;104;1380
02:00;5;63;56;540
03:00;5;65;61;590
04:00;5;67;63;630
05:00;4;75;63;630
06:00;7;91;76;720
07:00;8;103;72;770
08:00;7;74;61;790
09:00;6;67;59;910
10:00;7;72;58;780
11:00;12;74;58;700
12:00;13;48;41;570
13:00;43;45;37;540
14:00;10;51;36;530
15:00;10;52;36;540
16:00;12;48;33;550
17:00;6;31;19;480
18:00;5;26;16;480
19:00;5;28;18;480
20:00;6;40;25;540
21:00;5;63;40;740
22:00;5;95;66;1060
23:00;5;100;77;1200
