CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;4;7;;54
01:00;46;3;8;430;58
02:00;23;1;35;;77
03:00;32;2;24;;68
04:00;33;2;6;;42
05:00;31;2;9;;45
06:00;31;2;19;;59
07:00;34;1;44;;100
08:00;35;2;44;;103
09:00;36;6;46;;106
10:00;35;12;27;;76
11:00;33;19;18;;60
12:00;32;20;15;240;55
13:00;36;22;16;180;60
14:00;38;20;15;140;60
15:00;40;15;16;170;65
16:00;31;16;9;160;45
17:00;36;11;10;150;52
18:00;39;3;11;140;55
19:00;67;3;32;480;115
20:00;81;8;50;760;156
21:00;62;7;20;490;92
22:00;48;5;11;430;66
23:00;41;5;8;420;52
