CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;15;9;2;390;17
01:00;20;8;3;510;24
02:00;19;12;75;1710;133
03:00;13;14;80;1870;135
04:00;13;11;70;1750;119
05:00;12;10;68;1820;115
06:00;23;11;82;1930;148
07:00;20;11;76;1910;135
08:00;21;10;54;1710;104
09:00;23;9;33;1870;74
10:00;25;8;39;1200;85
11:00;23;9;33;1680;73
12:00;26;13;25;1650;64
13:00;37;36;36;2460;91
14:00;24;26;10;750;40
15:00;25;19;6;710;34
16:00;21;13;3;610;26
17:00;23;13;2;;26
18:00;27;14;3;790;32
19:00;30;20;4;930;35
20:00;26;25;3;810;31
21:00;30;23;6;1250;39
22:00;23;19;3;510;27
23:00;23;16;5;710;31
