CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.1;43;5;127;92;77;770;162
01:00;4.6;39;5;90;67;45;470;107
02:00;2.3;23;3;58;44;28;360;67
03:00;2.3;21;3;58;44;17;290;48
04:00;1.7;21;3;64;47;21;280;54
05:00;2.3;14;3;61;45;23;260;51
06:00;1.7;12;2;57;44;18;250;39
07:00;1.1;17;3;57;42;71;540;126
08:00;3.4;25;3;67;45;129;670;224
09:00;3.4;34;2;85;57;64;520;132
10:00;2.3;31;2;89;49;26;480;72
11:00;2.3;26;2;77;42;18;520;55
12:00;3.4;43;5;123;59;19;880;72
13:00;6.8;36;5;126;58;10;910;51
14:00;3;15;10;62;29;1;440;18
15:00;1.4;22;9;68;28;3;570;27
16:00;1.1;24;11;63;25;3;;28
17:00;1.7;28;9;63;27;2;680;31
18:00;2.3;33;7;75;32;1;350;35
19:00;2.8;52;6;94;59;14;470;74
20:00;2.8;45;4;118;84;32;700;95
21:00;5.7;55;7;157;118;33;740;107
22:00;10.2;54;6;159;125;25;610;92
23:00;5.2;41;5;198;144;60;720;133
