CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;17;10;2;430;20
01:00;20;10;3;620;25
02:00;17;6;4;710;22
03:00;12;4;3;520;15
04:00;11;2;2;470;13
05:00;11;2;2;420;13
06:00;16;11;9;1090;29
07:00;18;5;6;550;27
08:00;7;3;2;360;9
09:00;5;1;2;310;9
10:00;6;1;2;320;9
11:00;6;3;3;370;11
12:00;8;10;5;500;15
13:00;9;14;5;450;16
14:00;8;9;3;360;11
15:00;5;3;1;;7
16:00;5;3;1;200;7
17:00;;;;;
18:00;10;5;1;350;12
19:00;28;22;2;980;32
20:00;30;24;3;1120;34
21:00;26;20;3;940;30
22:00;16;12;1;550;18
23:00;20;13;3;460;23
