CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;2;6;3
01:00;2;7;3
02:00;5;55;36
03:00;5;55;35
04:00;5;56;36
05:00;5;56;35
06:00;5;58;36
07:00;5;57;34
08:00;6;51;28
09:00;8;45;23
10:00;14;42;21
11:00;;37;18
12:00;16;41;18
13:00;15;45;20
14:00;10;54;24
15:00;7;40;13
16:00;6;23;4
17:00;5;15;3
18:00;5;12;3
19:00;6;17;7
20:00;3;15;7
21:00;3;14;7
22:00;3;14;7
23:00;2;6;4
