CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;26;2;21;11;5;250;31
01:00;21;1;21;11;4;230;25
02:00;23;2;27;16;5;250;31
03:00;13;3;14;7;3;170;16
04:00;8;2;14;6;1;130;9
05:00;8;1;5;4;2;130;10
06:00;17;2;4;4;7;140;27
07:00;26;1;4;4;14;170;47
08:00;27;1;4;4;14;220;48
09:00;30;2;5;4;13;;50
10:00;31;2;4;4;17;290;55
11:00;31;1;4;4;16;250;55
12:00;29;2;4;4;17;310;54
13:00;29;1;4;4;17;270;54
14:00;34;2;4;4;23;280;68
15:00;32;1;4;4;19;310;61
16:00;31;1;6;4;14;310;52
17:00;29;1;11;4;14;250;50
18:00;30;1;6;4;11;220;45
19:00;37;1;9;4;15;350;60
20:00;31;1;10;4;10;260;46
21:00;30;2;12;6;10;250;43
22:00;28;2;17;9;8;250;40
23:00;29;2;19;10;10;280;44
