CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;19;6;26;22;3;240;24
01:00;20;10;22;17;4;200;26
02:00;14;9;12;8;3;170;19
03:00;15;9;12;8;2;170;19
04:00;17;7;13;10;3;160;20
05:00;22;7;12;7;3;160;26
06:00;23;7;12;6;6;170;31
07:00;38;8;19;10;12;250;57
08:00;44;7;22;14;22;300;78
09:00;44;7;33;19;41;320;107
10:00;42;12;35;25;21;330;73
11:00;37;10;21;12;18;290;65
12:00;35;16;12;4;15;260;58
13:00;31;15;11;5;13;160;50
14:00;23;7;7;4;9;180;37
15:00;31;11;11;7;13;300;51
16:00;45;9;23;15;27;;85
17:00;50;6;78;65;29;680;94
18:00;50;6;80;60;72;780;160
19:00;47;6;57;43;52;850;125
20:00;50;10;46;36;45;810;118
21:00;39;9;33;29;15;450;61
22:00;25;5;22;18;7;290;35
23:00;22;6;26;22;5;260;29
