CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;56;49;333;279;66;3120;157
01:00;;19;54;41;;630;
02:00;;20;52;40;;660;
03:00;;20;51;40;;710;
04:00;;19;79;63;;1040;
05:00;;27;139;114;;1620;
06:00;;19;125;101;;1410;
07:00;;22;116;95;;1690;
08:00;;21;141;115;;1720;
09:00;;40;163;133;;1850;
10:00;;40;140;113;;;
11:00;;40;85;62;;1230;
12:00;19;36;90;68;7;1390;29
13:00;18;37;77;58;4;1080;25
14:00;14;28;53;41;3;430;17
15:00;23;47;50;36;5;560;30
16:00;22;32;63;49;3;380;26
17:00;40;23;74;54;9;470;54
18:00;64;17;86;64;35;700;117
19:00;78;17;138;107;73;1280;188
20:00;82;21;217;176;160;2090;325
21:00;72;29;273;224;135;2650;278
22:00;61;40;310;256;93;2830;203
23:00;56;46;331;275;79;3100;176
