CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;23;4;4;310;30
01:00;26;3;39;810;85
02:00;22;3;38;800;79
03:00;19;3;48;800;92
04:00;18;3;54;910;99
05:00;14;3;65;1020;113
06:00;13;3;89;1170;148
07:00;14;3;132;1590;216
08:00;20;5;182;1880;297
09:00;32;10;203;2060;342
10:00;61;10;212;2140;385
11:00;71;11;84;1320;199
12:00;55;11;55;1110;138
13:00;46;19;35;730;98
14:00;46;14;35;750;99
15:00;51;10;37;860;107
16:00;53;7;35;760;107
17:00;58;7;42;830;123
18:00;57;8;67;970;159
19:00;59;11;63;1010;154
20:00;56;8;59;1100;146
21:00;57;11;40;880;118
22:00;46;10;17;590;71
23:00;34;5;9;410;47
