CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.1;37;13;37;34;8;460;48
01:00;1.9;24;11;30;28;5;490;32
02:00;1.9;17;14;22;21;2;440;20
03:00;1.9;25;16;21;20;4;430;30
04:00;1.9;13;17;10;10;1;220;15
05:00;0.9;11;12;9;9;2;190;13
06:00;0.9;18;12;11;10;5;240;25
07:00;0.9;29;18;14;13;9;250;43
08:00;0.9;34;23;17;14;13;270;53
09:00;0.9;33;16;14;12;16;340;56
10:00;0.9;37;12;21;13;20;410;67
11:00;0.9;41;14;21;16;25;440;79
12:00;0.9;22;8;12;12;10;280;37
13:00;1.4;29;8;16;15;18;370;56
14:00;1.4;37;11;23;22;26;480;75
15:00;1.9;39;22;23;22;25;420;77
16:00;1.9;34;23;20;19;14;330;55
17:00;3.1;48;23;43;33;31;510;95
18:00;3.1;47;15;53;38;27;730;87
19:00;3.1;49;13;59;42;34;720;99
20:00;3.1;45;12;40;31;20;450;74
21:00;3.1;45;12;39;32;16;500;69
22:00;3.1;43;12;39;34;13;480;62
23:00;3.1;39;12;38;33;13;470;58
