CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;26;3;95;800;170
01:00;24;4;3;350;28
02:00;19;3;3;270;24
03:00;15;3;2;270;18
04:00;20;4;2;250;23
05:00;23;3;3;240;28
06:00;18;3;4;280;23
07:00;21;3;13;370;40
08:00;21;3;13;320;40
09:00;19;3;13;370;39
10:00;21;3;20;390;51
11:00;24;5;34;390;75
12:00;30;8;63;440;126
13:00;24;4;26;380;64
14:00;28;6;33;420;79
15:00;29;7;55;500;111
16:00;29;5;44;460;97
17:00;34;4;71;660;142
18:00;33;4;83;760;159
19:00;32;2;95;910;176
20:00;30;2;137;1300;238
21:00;27;3;136;1250;236
22:00;25;4;107;1350;188
23:00;26;3;100;1010;180
