CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6;35;23;94;29;1050;80
01:00;7.9;35;7;114;87;1810;168
02:00;7.2;29;6;122;93;1770;172
03:00;7.4;28;6;118;110;1800;195
04:00;7.2;;;118;;;
05:00;7.5;38;7;152;126;1980;231
06:00;7.2;44;8;135;122;1960;231
07:00;6.5;43;7;115;145;2040;265
08:00;6.3;53;11;165;274;2310;472
09:00;8.8;62;14;241;273;2390;479
10:00;9.7;74;28;213;151;2020;305
11:00;7.2;68;31;181;94;1490;212
12:00;4.6;63;26;122;63;1220;159
13:00;3.5;57;29;111;45;;126
14:00;3;74;35;92;95;1490;220
15:00;4.1;98;28;158;415;3650;733
16:00;10.4;125;23;378;764;5880;1293
17:00;18.5;122;20;453;754;5710;1275
18:00;18.2;100;20;345;531;4540;911
19:00;17.1;71;29;293;212;2700;395
20:00;12.8;51;35;197;74;1620;165
21:00;8.6;42;28;127;49;1430;118
22:00;6.5;40;21;126;65;1510;140
23:00;6.7;37;16;115;55;1240;121
