CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;42.8464;1.46243;45.3487;28.6327;5.37388;615.433;654.97;51
01:00;44.2179;1;41.1487;26.071;6.56338;604.392;631.265;54.2
02:00;;;;;;;;
03:00;;;;;;;;
04:00;;;;;;;;
05:00;;;;;;;;
06:00;;;;;;;;
07:00;;;;;;;;
08:00;;;;;;;;
09:00;;;;;;;;
10:00;;;;;;;;
11:00;;;;;;;;
12:00;;;;;;;;
13:00;;;;;;;;
14:00;;;;;;;;
15:00;;;;;;;;
16:00;;16.3213;31.1054;15.2054;;;;
17:00;13.4681;5.71382;32.0979;14.9346;0.827869;794.037;;14.7
18:00;13.0844;5.15755;32.392;15.6493;0.980973;676.618;;14.6
19:00;13.7003;3.70252;28.4318;14.1679;0.714947;593.039;;14.8
20:00;17.6496;3.87836;31.5399;15.7867;0.526857;576.765;;18.4
21:00;33.6911;2.29388;52.8459;24.4778;1.34503;686.097;;35.7
22:00;43.1668;2.10081;46.585;27.4383;1.30623;659.768;664.387;45.2
23:00;34.2852;2.16813;56.9507;34.194;1.31732;638.005;660.618;36.3
