CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.9;32;4;25;16;8;500;44
01:00;0.9;27;4;21;13;4;430;33
02:00;0.9;19;5;23;16;3;410;23
03:00;0.8;18;5;23;15;3;380;22
04:00;0.9;15;2;23;16;3;400;19
05:00;0.9;19;5;27;18;4;400;24
06:00;1.2;19;5;26;18;18;480;46
07:00;2.3;38;5;30;18;43;680;104
08:00;2;37;5;27;14;32;530;85
09:00;2.1;37;6;37;16;22;670;69
10:00;1.2;25;7;23;13;15;420;47
11:00;0.7;22;6;18;9;9;360;35
12:00;0.5;18;5;13;7;6;280;27
13:00;0.3;14;5;13;6;4;260;20
14:00;0.4;19;5;14;7;5;270;25
15:00;1;31;4;28;13;10;350;45
16:00;1.1;30;4;14;9;9;400;44
17:00;1.1;43;5;11;8;14;490;64
18:00;1.1;47;5;15;10;15;510;70
19:00;0.9;37;4;15;9;14;490;58
20:00;0.9;44;4;18;10;12;510;61
21:00;1.2;42;4;23;14;10;520;57
22:00;1.3;43;4;30;19;14;590;63
23:00;1;49;4;27;17;12;550;68
