CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;35;6;7;730;45
01:00;32;6;4;710;38
02:00;10;4;1;150;10
03:00;10;5;2;140;10
04:00;9;5;2;140;10
05:00;10;4;2;160;11
06:00;15;5;5;230;21
07:00;18;4;7;190;27
08:00;45;5;18;440;72
09:00;47;7;23;410;81
10:00;30;9;13;330;48
11:00;22;10;8;;34
12:00;20;12;8;190;31
13:00;20;10;8;220;31
14:00;24;10;10;230;39
15:00;27;11;12;210;45
16:00;24;12;9;200;36
17:00;28;9;10;230;44
18:00;45;6;17;390;70
19:00;51;7;18;500;78
20:00;59;8;23;570;93
21:00;59;8;22;620;92
22:00;49;6;17;700;75
23:00;46;6;17;760;71
