CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;5;3;82;54;650
01:00;3.8;3;71;49;160
02:00;2.2;1;45;33;280
03:00;1.9;1;42;33;190
04:00;1.7;2;41;32;160
05:00;1.6;1;43;32;190
06:00;1.5;1;42;33;280
07:00;1.6;1;61;45;260
08:00;1.9;1;61;41;340
09:00;4.9;2;147;101;680
10:00;5.1;2;60;36;340
11:00;2.4;2;29;7;270
12:00;2;3;26;5;310
13:00;1.5;5;14;4;260
14:00;1.2;4;12;4;350
15:00;1.3;4;13;4;540
16:00;0.6;4;13;4;790
17:00;0.6;4;15;4;780
18:00;;;17;4;
19:00;;4;27;9;1240
20:00;;4;109;75;1640
21:00;;3;158;116;
22:00;4.8;3;106;67;1070
23:00;5.1;4;105;65;800
