CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;59;29;60;2420;150
01:00;43;21;18;1010;70
02:00;44;25;27;1040;85
03:00;44;31;18;950;72
04:00;42;27;21;990;74
05:00;38;21;24;1150;74
06:00;27;8;28;1240;70
07:00;36;12;54;1570;119
08:00;42;19;68;1770;147
09:00;41;20;46;1440;112
10:00;44;24;49;1520;118
11:00;42;27;44;1280;110
12:00;45;27;53;1360;127
13:00;52;26;67;1530;154
14:00;58;34;71;1630;168
15:00;56;27;65;1630;155
16:00;55;24;49;1530;130
17:00;56;23;49;1520;130
18:00;55;24;58;1660;144
19:00;57;25;69;1740;163
20:00;57;28;71;1800;167
21:00;56;26;74;;169
22:00;56;29;71;1870;166
23:00;57;31;64;2130;156
