CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;61.7;7.76084;47.2393;26.8817;38.3518;733.49;371.88;120.6
01:00;15.2;8.54776;20.7389;13.0158;1.47077;278.551;383.038;17.5
02:00;47.7;5.85229;27.254;15.9779;5.83797;409.306;330.962;56.7
03:00;42.5;6.59488;33.4524;18.89;4.76215;384.298;349.361;49.8
04:00;29.7;6.31853;38.254;23.4503;3.7074;373.612;369.057;35.4
05:00;26.9;6.85127;41.7163;25.1897;5.33127;387.032;382.56;35.1
06:00;31.3;8.15172;46.3097;27.2281;11.9916;458.369;404.644;49.7
07:00;45.5;8.23891;53.1748;30.7829;33.334;603.376;435.286;96.7
08:00;48.8;8.95119;59.2174;29.2908;49.9133;665.325;466.518;125.3
09:00;45.4;9.05094;36.9302;18.1176;20.8117;451.845;466.645;77.3
10:00;26.6;8.36747;32.6543;15.5751;9.71136;328.3;456.52;41.5
11:00;14.9;10.1726;28.0007;14.5579;3.33607;318.336;448.274;20
12:00;18.6;11.2972;26.8559;12.9154;4.35619;278.406;436.374;25.2
13:00;27.9;9.59772;27.24;12.4153;7.91706;285.516;423.684;40.1
14:00;15.5;8.85588;18.7494;8.26931;4.67694;232.848;395.494;22.7
15:00;9.3;6.69019;15.5131;5.25861;2.48915;200.888;345.183;13.1
16:00;10.3;6.52394;14.3219;4.79847;2.51548;195.623;286.47;14.2
17:00;7.1;6.88083;13.8688;4.74792;1.35473;189.287;253.65;9.1
18:00;9.2;8.09704;14.0766;5.00569;1.36858;189.474;236.297;11.3
19:00;17;8.216;18.1654;6.3125;2.5709;224.557;224.575;20.9
20:00;21.8;9.81569;21.405;8.25583;1.52273;247.291;220.685;24.1
21:00;43.6;11.0023;31.9043;11.7306;5.45701;348.513;228.56;52
22:00;74.1;8.97558;77.7239;21.4006;6.99428;534.686;266.29;84.8
23:00;31.7;7.88867;32.1948;19.8507;2.34228;507.743;304.647;35.3
