CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;40;6;23;1380;73
01:00;31;4;17;960;56
02:00;27;1;11;;43
03:00;27;2;21;950;57
04:00;26;2;19;750;54
05:00;21;1;16;730;45
06:00;19;1;17;760;44
07:00;23;1;38;800;80
08:00;21;1;35;750;76
09:00;20;1;20;680;51
10:00;24;4;22;690;57
11:00;25;15;18;680;52
12:00;23;23;10;540;37
13:00;18;12;5;250;24
14:00;21;13;6;360;29
15:00;18;8;4;210;23
16:00;17;5;4;160;22
17:00;19;6;4;220;24
18:00;19;4;3;160;23
19:00;22;3;3;180;26
20:00;24;3;3;240;28
21:00;32;11;4;830;36
22:00;40;8;9;1360;52
23:00;36;8;9;;50
