CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;39;2;33;25;76
01:00;40;2;32;14;61
02:00;26;2;;15;49
03:00;23;2;;7;33
04:00;23;1;;13;43
05:00;19;2;;10;34
06:00;21;1;;23;55
07:00;28;2;;45;97
08:00;29;2;;57;115
09:00;29;2;;53;110
10:00;26;5;;26;65
11:00;26;11;19;19;54
12:00;25;15;10;13;44
13:00;24;18;6;10;39
14:00;22;7;4;10;36
15:00;25;5;3;10;41
16:00;28;7;5;12;46
17:00;29;7;4;12;48
18:00;38;6;5;14;59
19:00;;;7;;
20:00;68;4;16;28;109
21:00;59;3;22;27;100
22:00;38;2;29;18;65
23:00;36;2;45;29;80
