CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.3;7;2;1;160;8
01:00;7;5;2;1;180;6
02:00;5.6;8;1;54;950;90
03:00;5.5;;1;;780;
04:00;4.5;;1;;740;
05:00;3.7;;1;;660;
06:00;3;;1;;590;
07:00;3.2;;1;;690;
08:00;3.4;;1;;810;
09:00;7.4;21;2;54;880;104
10:00;14.7;23;2;35;640;75
11:00;3;17;3;9;440;31
12:00;3.1;14;4;6;350;24
13:00;1.6;11;6;4;290;17
14:00;2;10;8;3;230;14
15:00;1.1;9;9;2;160;12
16:00;0.6;7;4;1;130;9
17:00;1;12;2;2;;15
18:00;2.6;16;2;2;;20
19:00;1.7;11;2;2;;14
20:00;1.8;30;1;7;490;42
21:00;2.5;36;1;8;;47
22:00;3.4;19;1;1;350;21
23:00;2.3;12;1;1;290;14
