CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;13.9;33;1;9;380;46
01:00;15.9;29;6;5;620;36
02:00;20.2;26;4;6;320;35
03:00;14.6;29;2;6;310;38
04:00;3.5;39;4;12;380;57
05:00;3.8;41;4;18;290;68
06:00;5;;;;;
07:00;6.1;29;;6;340;38
08:00;14.7;26;6;5;330;33
09:00;12.4;43;10;15;500;65
10:00;8.9;23;15;5;;29
11:00;12.7;22;6;4;310;28
12:00;12.4;17;3;2;220;21
13:00;5.3;15;1;2;150;18
14:00;2;21;2;4;350;26
15:00;1.7;27;7;7;410;36
16:00;8.7;27;4;5;300;36
17:00;;27;2;14;300;48
18:00;;34;5;26;350;74
19:00;4.5;40;11;38;760;98
20:00;8.4;41;11;14;730;63
21:00;22.4;30;12;4;640;36
22:00;13.1;22;9;3;530;26
23:00;21.5;14;4;2;260;17
