CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.7;41;2;24;580;77
01:00;2.6;37;2;13;520;56
02:00;5.8;12;1;65;770;112
03:00;3.8;12;1;46;620;83
04:00;4.3;8;2;47;650;80
05:00;3.8;8;1;34;450;59
06:00;3.2;8;1;42;480;72
07:00;4;9;1;74;680;121
08:00;4.8;11;1;113;;184
09:00;5.4;20;1;141;950;234
10:00;4;29;2;70;460;136
11:00;1.9;31;2;56;280;116
12:00;2;30;2;38;240;88
13:00;1.1;32;3;26;210;71
14:00;1.3;42;2;30;310;87
15:00;1.6;49;2;34;440;101
16:00;2.6;52;1;54;580;134
17:00;2.6;49;2;61;600;142
18:00;2.8;46;3;62;650;142
19:00;3;48;3;57;580;135
20:00;3;27;1;55;610;111
21:00;2.9;27;2;57;710;114
22:00;3.1;46;2;39;690;105
23:00;3.1;35;1;30;660;80
