CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;16;5;15;1;370;18
01:00;16;5;13;1;;17
02:00;23;3;36;6;360;33
03:00;20;3;16;5;330;28
04:00;19;3;17;3;350;24
05:00;22;4;31;21;360;54
06:00;30;3;46;29;490;74
07:00;28;4;20;14;380;48
08:00;20;7;40;9;290;33
09:00;22;10;26;5;340;29
10:00;19;7;21;6;350;28
11:00;15;6;20;5;330;23
12:00;13;5;21;4;280;19
13:00;9;4;11;4;270;16
14:00;10;4;11;3;270;16
15:00;9;4;9;3;290;14
16:00;11;5;9;3;250;17
17:00;11;4;10;2;300;15
18:00;13;5;11;4;310;18
19:00;19;4;10;4;340;25
20:00;20;4;15;3;380;25
21:00;27;5;23;3;420;32
22:00;21;5;17;3;410;25
23:00;17;5;10;1;370;19
