CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.2;15;7;35;25;3;1000;18
01:00;1.2;15;7;40;28;3;700;19
02:00;2.2;16;11;43;31;1;760;17
03:00;3.8;37;8;43;29;2;590;40
04:00;3.4;28;8;43;30;2;630;31
05:00;4;14;6;39;26;1;340;15
06:00;4.9;12;5;35;25;1;330;14
07:00;6.4;12;4;33;24;1;320;13
08:00;2.1;12;5;33;24;1;350;14
09:00;0.7;13;8;39;26;1;510;14
10:00;0.4;11;5;31;23;1;320;13
11:00;0.4;13;3;28;20;2;410;16
12:00;1.1;14;5;27;18;3;790;19
13:00;1.1;17;3;38;25;5;510;24
14:00;3.1;16;5;42;29;3;510;20
15:00;2.6;12;4;27;20;2;550;15
16:00;1.2;11;4;27;20;2;380;14
17:00;1.3;14;4;31;23;2;410;17
18:00;4.3;12;4;32;22;2;570;16
19:00;1.1;9;5;30;20;1;610;11
20:00;1.7;10;3;35;23;1;800;12
21:00;2.5;10;6;39;29;1;970;11
22:00;4;19;7;38;29;3;660;23
23:00;;13;8;38;28;2;1150;15
