CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;18;2;77;1930;135
01:00;19;2;64;1520;116
02:00;14;3;57;2250;100
03:00;13;2;53;1840;94
04:00;13;2;47;1640;85
05:00;12;1;33;1470;61
06:00;14;1;31;1200;62
07:00;12;1;30;1060;58
08:00;10;2;42;;74
09:00;21;2;98;1520;170
10:00;39;4;75;1500;154
11:00;35;8;23;670;70
12:00;28;23;10;400;42
13:00;30;34;9;280;43
14:00;27;37;7;210;37
15:00;18;19;3;130;21
16:00;22;24;3;230;26
17:00;18;14;2;370;21
18:00;20;4;3;400;24
19:00;31;3;42;660;95
20:00;36;3;102;1220;191
21:00;33;3;142;1970;251
22:00;26;3;123;2090;213
23:00;23;3;99;2010;174
