CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;6;3;39;280
01:00;0.6;3;26;270
02:00;0.4;3;28;290
03:00;0.4;2;16;250
04:00;0.4;1;13;360
05:00;3.7;7;21;1800
06:00;14.9;11;95;1480
07:00;4.7;11;73;1560
08:00;9.3;14;85;1300
09:00;9.3;13;89;1400
10:00;5.9;9;88;1060
11:00;2.5;10;80;1500
12:00;5.2;8;108;710
13:00;2;4;59;250
14:00;0.4;2;36;260
15:00;0.4;1;38;270
16:00;0.4;3;19;250
17:00;0.4;1;9;250
18:00;0.4;3;20;230
19:00;0.4;3;12;260
20:00;0.4;4;7;270
21:00;0.4;4;16;240
22:00;0.4;3;19;270
23:00;0.6;3;12;410
