CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;27;7;145;112;50;980;102
01:00;40;17;143;110;39;1530;99
02:00;37;18;124;96;22;1320;70
03:00;33;19;119;92;14;1240;53
04:00;30;20;109;84;8;1050;42
05:00;33;20;106;79;12;1040;51
06:00;36;19;109;83;43;1360;102
07:00;33;12;129;92;88;1320;168
08:00;24;8;134;98;50;1110;100
09:00;30;10;141;101;112;1380;202
10:00;50;22;142;105;92;1510;191
11:00;53;25;141;103;84;1430;181
12:00;53;30;135;100;69;1330;157
13:00;46;30;108;81;40;;108
14:00;46;28;99;73;33;740;95
15:00;35;15;99;75;12;740;53
16:00;38;13;99;75;8;660;50
17:00;37;11;90;66;11;510;53
18:00;48;9;133;95;55;840;130
19:00;44;12;159;121;39;1180;103
20:00;37;9;169;129;54;1210;119
21:00;37;10;170;131;71;1350;146
22:00;37;10;178;137;81;1600;161
23:00;28;8;162;125;46;1240;98
